title,artist,cover,year,id,hasSleeve
Patti Smith,Dream Of Life,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224162.jpeg,Serious,alt country-americana-outlaw country,TRUE
Patti Smith,Dream Of Life,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224166.jpeg,Fiery,alt country-americana-outlaw country-red dirt-texas country-roots rock,TRUE
Vance Joy,Dream Your Life Away (Special Edition),https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224150.jpeg,Romantic,alt country-americana-singer-songwriter,TRUE
The Brothers And Sisters& Merry Clayton,Dylan's Gospel,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224126.jpeg,Fiery,americana-folk-alt country,TRUE
Eels,Earth to Dora,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224112.jpeg,Yearning,country-classic country,TRUE
Allman Brothers Band,Eat A Peach,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224136.jpeg,Fiery,classical piano-classical-classical piano-classical,TRUE
BALTHVS,Eclipse Solar,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224158.jpeg,Fiery,americana,TRUE
Mike Dawes,新世紀,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource36.jpg,Fiery,alt country-americana-singer-songwriter,TRUE
Frank Turner,England Keep My Bones (Deluxe Edition),https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource37.jpg,Sensual,art rock,TRUE
Frank Turner,England Keep My Bones (Deluxe Edition),https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224124.jpeg,Fiery,bluegrass-newgrass-americana-folk,TRUE
Frank Turner,England Keep My Bones (Deluxe Edition),https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource818.jpeg,Fiery,bluegrass-newgrass-americana-folk-alt country,TRUE
Frank Turner,England Keep My Bones (Deluxe Edition),https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224130.jpeg,Fiery,classical piano-classical-classical piano-classical,TRUE
Frank Turner,England Keep My Bones (Deluxe Edition),https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource40.jpg,Rowdy,classical piano-classical-classical piano-classical,TRUE
Frank Turner,England Keep My Bones (Deluxe Edition),https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource142.jpg,Fiery,classical piano-classical-classical-classical piano-opera-chamber music,TRUE
Frank Turner,England Keep My Bones (Deluxe Edition),https://storage.googleapis.com/workthisfucker/ALLLRC/LRC11022412.jpeg,Fiery,classical piano-classical-classical-classical piano-opera-chamber music,TRUE
Frank Turner,England Keep My Bones (Deluxe Edition),https://storage.googleapis.com/workthisfucker/ALLLRC/LRC11022416.jpeg,Fiery,classical piano-classical-classical-classical piano-opera-chamber music,TRUE
Frank Turner,England Keep My Bones (Deluxe Edition),https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource78.jpg,Gritty,classical piano-classical-minimalism-classical piano,TRUE
Eric McFadden,Eric McFadden does AC/DC (Acoustic Tribute),https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224118.jpeg,Rowdy,alt country-americana-outlaw country-red dirt-texas country-roots rock,TRUE
Pet Shop Boys,Essential Pet Shop Boys,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224165.jpeg,Stirring,french jazz-chanson-lounge,TRUE
Dan Reeder,Every Which Way,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC11022415.jpeg,Fiery,classical piano-classical-classical piano-classical,TRUE
Ukandanz,Evil Plan,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource12.jpg,Peaceful,alt country-americana-roots rock,TRUE
Nilüfer Yanya,Extraordinary Renditions,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource31.jpg,Yearning,alt country-americana-roots rock,TRUE
Electric Light Orchestra,Face the Music,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource158.jpg,Yearning,alt country-americana-roots rock,TRUE
True Loves,Famous Last Words,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224113.jpeg,Yearning,art rock,TRUE
The Supremes,Favorites,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource8.jpg,Yearning,alt country-americana-roots rock,TRUE
Tahini Bikini,Fever Dream,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224119.jpeg,Fiery,americana-folk-americana-country-americana-alt country,TRUE
Mama Zula,Fight It One More Night,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC11022418.jpeg,Yearning,alt country-anti-folk-folk punk-singer-songwriter-americana-alt country-americana-indie rock,TRUE
Tony Allen& Damon Albarn,Film of Life,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource169.jpg,Fiery,classical piano-classical-classical piano-classical,TRUE
The New Pornographers& Aimee Mann,Firework in the Falling Snow (Acoustic Version),https://storage.googleapis.com/workthisfucker/ALLLRC/LRC11022413.jpeg,Yearning,alt country-americana-roots rock-country rock,TRUE
Carsie Blanton,Fishin' with You,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource358.jpg,Fiery,americana,TRUE
Fleetwood Mac,Fleetwood Mac,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource185.jpg,Sophisticated,classical piano-classical-classical piano-classical,TRUE
Miley Cyrus,Flowers,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC11022419.jpeg,Tender,classical-classical piano-classical piano-classical-idm-ambient-shoegaze-downtempo,TRUE
Lillie Mae,Forever and Then Some,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource355.jpg,Easygoing,americana-folk-americana-country-americana-alt country,TRUE
Röyksopp,Forsaken Cowboy,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource348.jpg,Peaceful,classical piano-classical-classical-classical piano,TRUE
Our Brother George,Free Cocaine,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource811.jpeg,Serious,classical-classical piano-classical piano-classical-idm-ambient-shoegaze-downtempo,TRUE
Neil Young,Freedom,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource220.jpg,Yearning,alt country-americana-roots rock,TRUE
Galactic& JUVENILE,From the Corner To the Block,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224163.jpeg,Fiery,americana-folk-alt country,TRUE
John Fullbright,From The Ground Up,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224115.jpeg,Sensual,alt country-americana-roots rock,TRUE
Moderator,Funk for Food,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource223.jpg,Fiery,french jazz-chanson-lounge,TRUE
Funkadelic,Funkadelic,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource19.jpg,Upbeat,classical piano-classical-classical piano-classical,TRUE
Toots & The Maytals,Funky Kingston,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource298.jpg,Stirring,americana,TRUE
Jeremy Moses Curtis,Further On: The Songs of Billy Conway,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224161.jpeg,Rowdy,edm-dance,TRUE
Hollow Ship,Future Remains,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource18.jpg,Fiery,djent-progressive metal-progressive rock,TRUE
Savana Funk,Ghibli,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC1102241113.jpeg,Stirring,art rock,TRUE
